keywords,labels,weight,distance,range,Notes?,,
koersmanipulatie koersmanipulaties marktmisbruik marktmanipulation marktmanipulationen,financial-offenses-market-manipulation,-190,25,3,,,
lure && squeeze,financial-offenses-market-manipulation,-170,25,6,,,
manipulate manipulating manipulated && informations,financial-offenses-market-manipulation,-190,25,6,,,
market currency fx forex fund funds funding pension pensions finance finances financial balance books lending loans rate rates rating ratings libor euribor bbsw interest && rigged rigging manipulation manipulating manipulate manipular manipulates manipulated scheming schemed abuse abusing abusal abuses abused,financial-offenses-market-manipulation,-170,25,4,,,
market financial statement && manipulation manipulating manipulate manipulates manipulated,financial-offenses-market-manipulation,-70,25,6,,,
misled misleads misleadingly misleading mislead,financial-offenses-market-manipulation,-80,5,2,,,
painting && the && tape,financial-offenses-market-manipulation,-170,25,4,,,
price && fix,financial-offenses-market-manipulation,-170,25,8,,,
price && fixing,financial-offenses-market-manipulation,-170,25,8,,,
pump && dump,financial-offenses-market-manipulation,-170,25,4,,,
quote && stuffing,financial-offenses-market-manipulation,-170,25,4,,,
scheme plot && manipulate manipulates manipulated manipulation manipulating,financial-offenses-market-manipulation,-170,25,4,,,
sold sell sells selling marketing offers offering offered lured luring lured lures && dangerous hazardous perilous harmful risky treacherous precarious unwitting unknowing unwarranted insecure doubtful dubious questionable fraught vulnerable unreliable knowingly deliberately intentionally,financial-offenses-market-manipulation,-150,25,6,,,
sold sell sells selling marketing offers offering offered lured luring lured lures && didn't didn not without && understand understanding,financial-offenses-market-manipulation,-150,25,6,,,
spot && fix,financial-offenses-market-manipulation,-170,25,4,,,
spot rate && fixing,financial-offenses-market-manipulation,-170,25,4,,,
stock && bashing,financial-offenses-market-manipulation,-170,25,4,,,
stock rate swap && manipulation,financial-offenses-market-manipulation,-170,25,8,,,
wash && trade trading,financial-offenses-market-manipulation,-170,25,4,,,
monopoly monopolizing monopolizes monopolized monopolize monopolization monopolists monopolistic,financial-offenses-market-manipulation,-50,5,2,,,
aml disclosure && failure failures,financial-offenses-money-laundering,-130,25,8,,,
breached breaching breaches breach deficiency deficiencies violation violations violating violated violate violates infringe infringes infringing infringed infringements && antimoney laundering aml compliance,financial-offenses-money-laundering,-190,25,5,,,
deficiencies deficient improper improperly neglect neglecting neglects neglected negligence negligent irregularities lackluster insufficient inadequate fail fails failing failed failure failures faulty unsatisfactory erroneous erroneous shortcoming shortcomings flawed defective inconsistent woefully poor poorly substandard shoddy lack lacks lacking badly misguided questionable incorrect hampered terrible terribly ineffective problematic inaccurate severely compromised dubious dubiously unacceptable unclear unreliable nonexistent undermine undermines undermining misleading mislead misleads misled grossly && aml anti laundering oversight control controls monitor monitoring report reporting,financial-offenses-money-laundering,-130,25,8,,,
dummy && corporation corporations,financial-offenses-money-laundering,-190,25,6,,,
laundered witwassen witgewast witgewassen witwaspraktijken witwaszaken witwassen,financial-offenses-money-laundering,-190,8,6,,,
money billion billions bln bn million millions mln mn trillion 1bn && laundering launders laundered launder launderer launderers pocketing funneling funneling funneled pocketing siphon siphoning siphoned trafficking trafficker traffickers smuggle smuggling smuggled conspiring clandestinely illicit illicitly,financial-offenses-money-laundering,-190,25,6,,,
moneylaundering,financial-offenses-money-laundering,-50,5,2,,,
witwaszaak witwaszaken witwasaffaire witwasaffaires witwasmachine witwasfabriek witwasaanpak,financial-offenses-money-laundering,-80,6,5,,,
laundering,financial-offenses-money-laundering,-50,5,2,,,
failed fails failure failing failed non not neglect neglects neglecting neglected refuse refuses refusing refusal && remit remits remitting remitted remittance && tax taxes,financial-offenses-tax-evasion,-150,25,6,,,
paradise panama && papers,financial-offenses-tax-evasion,-100,40,3,,,
tax taxes && evade evades evading evaded elude eludes eluding eluded evasion evaded scandal,financial-offenses-tax-evasion,-190,25,6,,,
tax taxes && evasion evaded,financial-offenses-tax-evasion,-130,25,8,,,
unpaid && tax taxes,financial-offenses-tax-evasion,-190,25,8,,,
compensation && for,fines,-130,15,6,,,
faces facing civil && fine,fines,-180,30,6,,,
fine && euro euros dollar dollars yen million billion billions franc pesos ruble rubles rupee peso pesos && for,fines,-120,25,8,,,
fine && negligence negligent neglect neglects neglected malfeasance disobey disobeys disobeyed disobeying,fines,-180,25,8,,,
fine fines fining fined && over million billion mln bln bn amercement regulator fed cnmv sec ftc cftc fca authority authorities watchdog lands landing landed pay pays paying,fines,-180,25,8,,,
fine fines fining fined ordered && central && bank,fines,-180,30,6,,,
fine fines fining fined ordered && record largest biggest mega huge enormous incredible && over million billion mln bln bn amercement regulator sec ftc cftc finra doj cnmv justica bafin lands landing landed,fines,-180,30,8,,,
fined fine && over imposes imposed imposing,fines,-180,30,6,,,
fined fine && over imposes imposed imposing imposition by,fines,-180,25,8,,,
fines,fines,-100,25,8,,,
millionenstrafe miljoenenstraf miljoenenboete miljardenboete devisenskandal devisenskandals,fines,-150,25,8,,,
millionenstrafe milliardenstrafe,fines,-250,25,6,,,
more must increase increases increasing fed sec ftc cftc fca finra doj cnmv justica bafin authority authorities watchdog regulator commission government ministry federal pay pays paying paid && fines fined fine penalty penalties,fines,-180,30,8,,,
must forced && thousand thousands million millions billion billions && euro euros dollar dollars,fines,-80,25,6,,,
ordered && to && pay && bln billion mln million millions mega giga massive extreme extremely gargantuan colossal hefty,fines,-190,25,3,,,
over imposes imposed imposing imposition by && fined fine,fines,-180,25,8,,,
pay && bias && fine fines fined settle settles settling million mn mln billion bn bln millions mns,fines,-180,25,8,,,
pay damages && bln blns billion billions millions mlns mega crazy hefty monstrous serious seriously && fail fails failing failure failures,fines,-180,25,12,,,
pay pays paid && fine fines amercement,fines,-180,25,8,,,
pay pays payment && competition competitive && commission commission regulator watchdog,fines,-180,25,8,,,
set && to && fine,fines,-180,25,8,,,
slaps slap slapping && bln billion mln million millions mega giga massive extreme extremely gargantuan colossal hefty,fines,-190,25,3,,,
slaps slap slapping slapped && fine penalty,fines,-180,30,5,,,
to && pay && over,fines,-130,7,3,,,
fined,fines,-50,5,2,,,
board && replacement replaced reinstated replaces reinstates,forced-changes,-70,15,6,,,
is was && appointed,forced-changes,-70,15,6,,,
ceo ceos ceo ceoss && is && out,forced-changes,-130,25,8,,,
decide decides deciding decided decision && remove dismiss && influential team exec execs executive executives head management manager managers managing md ceo ceos ceo ceoss coo cio cto cfo evp president board boardmembers chief chef honcho chair chairman chairwoman chairperson director directors leader leaders leadership boss bosses gm leadership founder founders,forced-changes,-120,25,7,,,
